Company Category,Company,Overall Job Category,Job Category,Title,Min Experience,Max Experience,Country,State,City,Location Type,JobType,Job Link,Activated Date,Skills,Min Salary,Max Salary
Gaming Company,CD PROJEKT RED,Art & Tech Art,Technical-art,Lead Technical Producer,8.0,,Poland,Masovian Voivodeship,Warsaw,Hybrid,Full-time,https://jobs.smartrecruiters.com/CDPROJEKTRED/744000090185685-lead-technical-producer,29 Oct 2025,"Cross-functional, communication, oops, game-texts, agile-development, confluence, jira",,
Gaming Company,CD PROJEKT RED,Art & Tech Art,Technical-art,"Technical Artist, VFX",5.0,,Poland,Masovian Voivodeship,Warsaw,On-site,Full-time,https://jobs.smartrecruiters.com/CDPROJEKTRED/744000090368613-technical-artist-vfx,29 Oct 2025,"Real-time-vfx, communication, budget-management, rendering, autodesk-maya, shader-development, oops, cpp, unreal, talent-acquisition, game-texts, houdini, python, substance-painter, maya, autodesk, blender",,
Gaming Company,CD PROJEKT RED,Engineering & Development,Devops,AI DevOps Engineer,,,Poland,Masovian Voivodeship,Warsaw,Hybrid,Full-time,https://jobs.smartrecruiters.com/CDPROJEKTRED/744000090442617-ai-devops-engineer,29 Oct 2025,"Cross-functional, communication, oops, game-texts, data-science, ci-cd, machine-learning",,
Gaming Company,CD PROJEKT RED,Localization & Translation,Localization,English Adaptation Specialist,,,Poland,Masovian Voivodeship,Warsaw,Hybrid,Full-time,https://jobs.smartrecruiters.com/CDPROJEKTRED/744000090091370-english-adaptation-specialist,29 Oct 2025,"Problem-solving, excel, rendering, oops, game-texts",,
Gaming Company,CD PROJEKT RED,Research & Development,Research-development,Lead AI Engineer,7.0,,United States,Massachusetts,Boston,Remote,Full-time,https://jobs.smartrecruiters.com/CDPROJEKTRED/744000090703785-lead-ai-engineer,29 Oct 2025,"Team-management, communication, problem-solving, resource-allocation, oops, cpp, unreal, talent-acquisition, game-texts, resource-planning, agile-development, multiplayer",,
Gaming Company,CD PROJEKT RED,Writing & Narrative,Game-story-writing-narratived-design,Lead Narrative Designer,3.0,,United States,Massachusetts,Boston,Hybrid,Full-time,https://jobs.smartrecruiters.com/CDPROJEKTRED/744000090469401-lead-narrative-designer-,29 Oct 2025,"Team-management, cross-functional, communication, character-design, artistic-vision, oops, unreal, talent-acquisition, creative-writing, game-texts, script-writing, storytelling, cross-functional-collaboration, multiplayer",,
Gaming Company,CloudLinux,IT & Security,Cyber-security,Go Developer / Security Researcher,4.0,,,,,Remote,Full-time,https://apply.workable.com/cloudlinux-1/j/C30BD8E795/,29 Oct 2025,"Oracle, budget-management, github, game-texts, gitlab, linux, ci-cd, kubernetes, git, python, php, jenkins",,
Gaming Company,Dream Sports,Animation & Cinematics,3d-animation,Senior 3D Animator,5.0,,India,Maharashtra,Mumbai,On-site,Full-time,https://jobs.lever.co/dreamsports/969913ec-1d00-4203-8add-0b3ffc7ea7a9,29 Oct 2025,"3d-animation, motion-capture, communication, rigging, vicon, optitrack, unreal, unity, talent-acquisition, game-texts, mel, python, maya, autodesk",,
Gaming Company,Dream Sports,Art & Tech Art,3d-art,Senior 3D Artist,5.0,,India,Maharashtra,Mumbai,On-site,Full-time,https://jobs.lever.co/dreamsports/3d924e33-19d2-4804-b593-0e6fa058006a,29 Oct 2025,"Real-time-vfx, rendering, 3ds-max, anatomy, 3d-modeling, environment-design, unreal, unity, game-texts, storytelling, lighting-shading, texturing, video-editing, substance-painter, photoshop, zbrush, final-cut-pro, maya, blender",,
Gaming Company,easygo,Product Design,Product-design,Product Design Manager,8.0,,Australia,Victoria,Melbourne,On-site,Full-time,https://job-boards.greenhouse.io/easygo/jobs/4961558007,29 Oct 2025,"Team-management, game-texts, slack",,

